datetime	product_no	lot_no	serial_no	judgement	logstring
2024-05-25T10:37:32	pn4063	8047	DNpn40630524777	NG	02,DNpn40630524777_inspection_image.bmp,Dent,383,313
2024-05-26T13:58:11	pn4063	8047	DNpn40630524654	NG	02,DNpn40630524654_inspection_image.bmp,Crack,157,374,Crack,747,436,Scratch,148,370
2024-05-28T05:06:01	pn4063	8047	DNpn40630524830	OK	02,DNpn40630524830_inspection_image.bmp,
2024-05-27T22:43:54	pn4063	8047	DNpn40630524882	OK	02,DNpn40630524882_inspection_image.bmp,
2024-05-26T05:24:44	pn4063	8047	DNpn40630524221	NG	02,DNpn40630524221_inspection_image.bmp,Dent,578,178,Scratch,866,366
2024-05-24T16:08:29	pn4063	8047	DNpn40630524878	NG	02,DNpn40630524878_inspection_image.bmp,Dust,201,350
2024-05-25T14:55:07	pn4063	8047	DNpn40630524376	OK	02,DNpn40630524376_inspection_image.bmp,
2024-05-25T16:03:00	pn4063	8047	DNpn40630524906	OK	02,DNpn40630524906_inspection_image.bmp,
2024-05-26T21:57:07	pn4063	8047	DNpn40630524300	OK	02,DNpn40630524300_inspection_image.bmp,
2024-05-28T01:45:19	pn4063	8047	DNpn40630524913	OK	02,DNpn40630524913_inspection_image.bmp,
2024-05-24T21:56:51	pn4063	8047	DNpn40630524037	OK	02,DNpn40630524037_inspection_image.bmp,
2024-05-25T14:10:11	pn4063	8047	DNpn40630524795	NG	02,DNpn40630524795_inspection_image.bmp,Dust,440,408,Dust,900,352,Crack,576,540
2024-05-26T09:55:02	pn4063	8047	DNpn40630524788	OK	02,DNpn40630524788_inspection_image.bmp,
2024-05-28T02:57:59	pn4063	8047	DNpn40630524652	OK	02,DNpn40630524652_inspection_image.bmp,
2024-05-25T23:49:02	pn4063	8047	DNpn40630524051	OK	02,DNpn40630524051_inspection_image.bmp,
2024-05-27T17:57:40	pn4063	8047	DNpn40630524197	OK	02,DNpn40630524197_inspection_image.bmp,
2024-05-26T08:30:58	pn4063	8047	DNpn40630524699	NG	02,DNpn40630524699_inspection_image.bmp,Dust,359,377,Scratch,503,342
2024-05-26T14:05:54	pn4063	8047	DNpn40630524005	OK	02,DNpn40630524005_inspection_image.bmp,
2024-05-24T19:45:43	pn4063	8047	DNpn40630524020	NG	02,DNpn40630524020_inspection_image.bmp,Scratch,639,286,Dust,842,375,Crack,311,407
2024-05-27T17:54:44	pn4063	8047	DNpn40630524143	OK	02,DNpn40630524143_inspection_image.bmp,
2024-05-27T06:35:41	pn4063	8047	DNpn40630524679	OK	02,DNpn40630524679_inspection_image.bmp,
2024-05-26T02:09:18	pn4063	8047	DNpn40630524273	OK	02,DNpn40630524273_inspection_image.bmp,
2024-05-27T17:48:03	pn4063	8047	DNpn40630524583	OK	02,DNpn40630524583_inspection_image.bmp,
2024-05-26T02:48:43	pn4063	8047	DNpn40630524271	OK	02,DNpn40630524271_inspection_image.bmp,
2024-05-26T11:07:14	pn4063	8047	DNpn40630524045	OK	02,DNpn40630524045_inspection_image.bmp,
2024-05-24T19:21:36	pn4063	8047	DNpn40630524172	OK	02,DNpn40630524172_inspection_image.bmp,
2024-05-25T07:09:33	pn4063	8047	DNpn40630524364	OK	02,DNpn40630524364_inspection_image.bmp,
2024-05-24T21:01:48	pn4063	8047	DNpn40630524868	NG	02,DNpn40630524868_inspection_image.bmp,Dent,747,379,Dent,750,388,Dust,287,367,Dent,343,363,Crack,452,422
2024-05-27T16:55:45	pn4063	8047	DNpn40630524981	OK	02,DNpn40630524981_inspection_image.bmp,
2024-05-26T00:22:09	pn4063	8047	DNpn40630524306	OK	02,DNpn40630524306_inspection_image.bmp,
2024-05-25T04:32:46	pn4063	8047	DNpn40630524160		
2024-05-25T19:38:10	pn4063	8047	DNpn40630524420	NG	02,DNpn40630524420_inspection_image.bmp,Scratch,606,537
2024-05-26T00:15:37	pn4063	8047	DNpn40630524239	OK	02,DNpn40630524239_inspection_image.bmp,
2024-05-27T09:19:34	pn4063	8047	DNpn40630524549	NG	02,DNpn40630524549_inspection_image.bmp,Dent,118,362,Crack,614,529,Scratch,369,320,Scratch,188,422,Dent,820,318
2024-05-26T08:23:28	pn4063	8047	DNpn40630524617	OK	02,DNpn40630524617_inspection_image.bmp,
2024-05-26T08:36:45	pn4063	8047	DNpn40630524927	NG	02,DNpn40630524927_inspection_image.bmp,Scratch,623,251
2024-05-25T13:27:40	pn4063	8047	DNpn40630524914	OK	02,DNpn40630524914_inspection_image.bmp,
2024-05-26T02:57:41	pn4063	8047	DNpn40630524837		
2024-05-26T18:44:09	pn4063	8047	DNpn40630524486	OK	02,DNpn40630524486_inspection_image.bmp,
2024-05-28T02:50:57	pn4063	8047	DNpn40630524152	NG	02,DNpn40630524152_inspection_image.bmp,Scratch,316,327,Scratch,914,370
2024-05-28T06:07:13	pn4063	8047	DNpn40630524992	OK	02,DNpn40630524992_inspection_image.bmp,
2024-05-25T23:07:36	pn4063	8047	DNpn40630524065	NG	02,DNpn40630524065_inspection_image.bmp,Scratch,612,541,Crack,715,417,Scratch,536,286
2024-05-26T04:22:00	pn4063	8047	DNpn40630524987	OK	02,DNpn40630524987_inspection_image.bmp,
2024-05-24T17:25:04	pn4063	8047	DNpn40630524044	OK	02,DNpn40630524044_inspection_image.bmp,
2024-05-26T00:09:29	pn4063	8047	DNpn40630524940	NG	02,DNpn40630524940_inspection_image.bmp,Dust,593,470,Scratch,509,458,Scratch,752,328
2024-05-27T04:10:04	pn4063	8047	DNpn40630524661	OK	02,DNpn40630524661_inspection_image.bmp,
2024-05-26T14:34:06	pn4063	8047	DNpn40630524614		
2024-05-26T02:26:26	pn4063	8047	DNpn40630524148	OK	02,DNpn40630524148_inspection_image.bmp,
2024-05-27T20:40:33	pn4063	8047	DNpn40630524631	OK	02,DNpn40630524631_inspection_image.bmp,
2024-05-24T14:40:45	pn4063	8047	DNpn40630524464	OK	02,DNpn40630524464_inspection_image.bmp,
2024-05-27T03:29:49	pn4063	8047	DNpn40630524806	OK	02,DNpn40630524806_inspection_image.bmp,
2024-05-25T17:28:22	pn4063	8047	DNpn40630524402	NG	02,DNpn40630524402_inspection_image.bmp,Dent,376,373,Scratch,717,464,Dust,371,334,Dent,224,328,Dent,481,391
2024-05-28T02:44:58	pn4063	8047	DNpn40630524327	OK	02,DNpn40630524327_inspection_image.bmp,
2024-05-27T01:11:58	pn4063	8047	DNpn40630524734	NG	02,DNpn40630524734_inspection_image.bmp,Dent,385,457,Dust,878,383,Dust,303,375,Dust,574,508,Dent,537,302,Dust,440,422
2024-05-24T14:13:38	pn4063	8047	DNpn40630524472	OK	02,DNpn40630524472_inspection_image.bmp,
2024-05-26T13:39:51	pn4063	8047	DNpn40630524205	OK	02,DNpn40630524205_inspection_image.bmp,
2024-05-28T01:57:30	pn4063	8047	DNpn40630524206	NG	02,DNpn40630524206_inspection_image.bmp,Dust,601,376
2024-05-24T12:38:55	pn4063	8047	DNpn40630524544	OK	02,DNpn40630524544_inspection_image.bmp,
2024-05-24T19:21:30	pn4063	8047	DNpn40630524210	OK	02,DNpn40630524210_inspection_image.bmp,
2024-05-26T18:02:35	pn4063	8047	DNpn40630524684	NG	02,DNpn40630524684_inspection_image.bmp,Crack,599,229,Dent,887,411,Dent,551,286
2024-05-25T01:03:09	pn4063	8047	DNpn40630524592	NG	02,DNpn40630524592_inspection_image.bmp,Dent,464,331,Scratch,270,313
2024-05-25T04:14:01	pn4063	8047	DNpn40630524668	OK	02,DNpn40630524668_inspection_image.bmp,
2024-05-27T07:24:14	pn4063	8047	DNpn40630524671	OK	02,DNpn40630524671_inspection_image.bmp,
2024-05-24T18:04:52	pn4063	8047	DNpn40630524027	OK	02,DNpn40630524027_inspection_image.bmp,
2024-05-28T07:36:43	pn4063	8047	DNpn40630524704	NG	02,DNpn40630524704_inspection_image.bmp,Dust,644,443,Dust,785,453
2024-05-26T15:34:56	pn4063	8047	DNpn40630524059	OK	02,DNpn40630524059_inspection_image.bmp,
2024-05-27T20:08:40	pn4063	8047	DNpn40630524076	OK	02,DNpn40630524076_inspection_image.bmp,
2024-05-26T14:23:08	pn4063	8047	DNpn40630524529	OK	02,DNpn40630524529_inspection_image.bmp,
2024-05-25T18:48:38	pn4063	8047	DNpn40630524902	OK	02,DNpn40630524902_inspection_image.bmp,
2024-05-28T10:07:35	pn4063	8047	DNpn40630524254		
2024-05-26T07:47:40	pn4063	8047	DNpn40630524612		
2024-05-27T06:42:35	pn4063	8047	DNpn40630524585	NG	02,DNpn40630524585_inspection_image.bmp,Dent,675,424,Scratch,506,379
2024-05-27T15:06:46	pn4063	8047	DNpn40630524528	OK	02,DNpn40630524528_inspection_image.bmp,
2024-05-25T02:34:00	pn4063	8047	DNpn40630524523	OK	02,DNpn40630524523_inspection_image.bmp,
2024-05-27T14:16:01	pn4063	8047	DNpn40630524111	NG	02,DNpn40630524111_inspection_image.bmp,Dent,433,445,Dent,263,312,Crack,284,403,Dent,893,411,Dent,711,402
2024-05-26T18:39:37	pn4063	8047	DNpn40630524883	OK	02,DNpn40630524883_inspection_image.bmp,
2024-05-28T02:33:12	pn4063	8047	DNpn40630524321	OK	02,DNpn40630524321_inspection_image.bmp,
2024-05-26T07:20:13	pn4063	8047	DNpn40630524011	OK	02,DNpn40630524011_inspection_image.bmp,
2024-05-26T11:01:50	pn4063	8047	DNpn40630524480	OK	02,DNpn40630524480_inspection_image.bmp,
2024-05-26T23:31:29	pn4063	8047	DNpn40630524744	NG	02,DNpn40630524744_inspection_image.bmp,Dust,577,415,Dust,113,405,Dust,634,399
2024-05-25T13:03:34	pn4063	8047	DNpn40630524892	NG	02,DNpn40630524892_inspection_image.bmp,Scratch,642,376,Scratch,371,402,Scratch,645,240
2024-05-26T08:51:54	pn4063	8047	DNpn40630524025	OK	02,DNpn40630524025_inspection_image.bmp,
2024-05-28T08:26:18	pn4063	8047	DNpn40630524814	OK	02,DNpn40630524814_inspection_image.bmp,
2024-05-27T00:20:47	pn4063	8047	DNpn40630524826	OK	02,DNpn40630524826_inspection_image.bmp,
2024-05-27T00:12:35	pn4063	8047	DNpn40630524809	OK	02,DNpn40630524809_inspection_image.bmp,
2024-05-26T12:50:59	pn4063	8047	DNpn40630524043	NG	02,DNpn40630524043_inspection_image.bmp,Dust,242,300,Dent,610,217
2024-05-26T14:43:49	pn4063	8047	DNpn40630524481	OK	02,DNpn40630524481_inspection_image.bmp,
2024-05-26T16:41:23	pn4063	8047	DNpn40630524675	OK	02,DNpn40630524675_inspection_image.bmp,
2024-05-27T18:32:37	pn4063	8047	DNpn40630524574	OK	02,DNpn40630524574_inspection_image.bmp,
2024-05-28T07:25:19	pn4063	8047	DNpn40630524238	OK	02,DNpn40630524238_inspection_image.bmp,
2024-05-27T07:57:18	pn4063	8047	DNpn40630524104	OK	02,DNpn40630524104_inspection_image.bmp,
2024-05-28T10:30:48	pn4063	8047	DNpn40630524142	NG	02,DNpn40630524142_inspection_image.bmp,Crack,103,391
2024-05-26T23:23:08	pn4063	8047	DNpn40630524569	OK	02,DNpn40630524569_inspection_image.bmp,
2024-05-26T03:24:57	pn4063	8047	DNpn40630524748	NG	02,DNpn40630524748_inspection_image.bmp,Scratch,769,423
2024-05-25T13:42:32	pn4063	8047	DNpn40630524720	OK	02,DNpn40630524720_inspection_image.bmp,
2024-05-26T16:41:11	pn4063	8047	DNpn40630524267	OK	02,DNpn40630524267_inspection_image.bmp,
2024-05-28T11:56:57	pn4063	8047	DNpn40630524737	OK	02,DNpn40630524737_inspection_image.bmp,
2024-05-26T12:56:44	pn4063	8047	DNpn40630524066	OK	02,DNpn40630524066_inspection_image.bmp,
2024-05-26T16:46:22	pn4063	8047	DNpn40630524038	NG	02,DNpn40630524038_inspection_image.bmp,Dust,245,417,Dust,347,342,Dent,580,573,Scratch,228,293
2024-05-28T10:26:42	pn4063	8047	DNpn40630524485	OK	02,DNpn40630524485_inspection_image.bmp,
2024-05-26T16:22:15	pn4063	8047	DNpn40630524151	OK	02,DNpn40630524151_inspection_image.bmp,
2024-05-27T13:49:37	pn4063	8047	DNpn40630524407	NG	02,DNpn40630524407_inspection_image.bmp,Dent,590,268
2024-05-28T11:11:47	pn4063	8047	DNpn40630524677	OK	02,DNpn40630524677_inspection_image.bmp,
2024-05-24T13:24:29	pn4063	8047	DNpn40630524287	OK	02,DNpn40630524287_inspection_image.bmp,
2024-05-25T00:25:05	pn4063	8047	DNpn40630524214	OK	02,DNpn40630524214_inspection_image.bmp,
2024-05-28T03:18:57	pn4063	8047	DNpn40630524082	OK	02,DNpn40630524082_inspection_image.bmp,
2024-05-24T15:09:13	pn4063	8047	DNpn40630524808		
2024-05-26T11:55:37	pn4063	8047	DNpn40630524556	OK	02,DNpn40630524556_inspection_image.bmp,
2024-05-25T07:24:00	pn4063	8047	DNpn40630524183	OK	02,DNpn40630524183_inspection_image.bmp,
2024-05-25T19:24:12	pn4063	8047	DNpn40630524875	OK	02,DNpn40630524875_inspection_image.bmp,
2024-05-27T17:11:58	pn4063	8047	DNpn40630524406	OK	02,DNpn40630524406_inspection_image.bmp,
2024-05-26T13:31:43	pn4063	8047	DNpn40630524606	NG	02,DNpn40630524606_inspection_image.bmp,Dust,922,351,Scratch,132,376,Crack,543,400
2024-05-27T21:53:23	pn4063	8047	DNpn40630524423	OK	02,DNpn40630524423_inspection_image.bmp,
2024-05-26T04:24:41	pn4063	8047	DNpn40630524686	OK	02,DNpn40630524686_inspection_image.bmp,
2024-05-25T17:00:39	pn4063	8047	DNpn40630524603	NG	02,DNpn40630524603_inspection_image.bmp,Crack,734,364,Dust,149,414,Dent,723,425
2024-05-24T17:52:45	pn4063	8047	DNpn40630524174	NG	02,DNpn40630524174_inspection_image.bmp,Scratch,663,415,Crack,851,429,Dust,704,427,Dust,281,446,Crack,637,279
2024-05-27T21:12:53	pn4063	8047	DNpn40630524451	OK	02,DNpn40630524451_inspection_image.bmp,
2024-05-27T16:03:49	pn4063	8047	DNpn40630524369	OK	02,DNpn40630524369_inspection_image.bmp,
2024-05-28T10:14:28	pn4063	8047	DNpn40630524665	NG	02,DNpn40630524665_inspection_image.bmp,Dent,846,345
2024-05-26T12:53:39	pn4063	8047	DNpn40630524757	NG	02,DNpn40630524757_inspection_image.bmp,Crack,878,396
2024-05-24T13:16:28	pn4063	8047	DNpn40630524713	OK	02,DNpn40630524713_inspection_image.bmp,
2024-05-25T19:39:28	pn4063	8047	DNpn40630524156	OK	02,DNpn40630524156_inspection_image.bmp,
2024-05-25T13:44:25	pn4063	8047	DNpn40630524130	OK	02,DNpn40630524130_inspection_image.bmp,
2024-05-28T07:44:21	pn4063	8047	DNpn40630524304	OK	02,DNpn40630524304_inspection_image.bmp,
2024-05-27T10:02:28	pn4063	8047	DNpn40630524303	OK	02,DNpn40630524303_inspection_image.bmp,
2024-05-26T06:26:15	pn4063	8047	DNpn40630524252	OK	02,DNpn40630524252_inspection_image.bmp,
2024-05-27T00:44:10	pn4063	8047	DNpn40630524672	OK	02,DNpn40630524672_inspection_image.bmp,
2024-05-24T21:25:25	pn4063	8047	DNpn40630524437	OK	02,DNpn40630524437_inspection_image.bmp,
2024-05-25T05:29:07	pn4063	8047	DNpn40630524408	NG	02,DNpn40630524408_inspection_image.bmp,Dent,430,444,Dust,616,182,Dust,389,339
2024-05-25T07:20:07	pn4063	8047	DNpn40630524896	NG	02,DNpn40630524896_inspection_image.bmp,Dust,194,419,Crack,444,395,Scratch,811,350,Crack,492,444
2024-05-28T07:56:16	pn4063	8047	DNpn40630524510		
2024-05-28T08:53:41	pn4063	8047	DNpn40630524343		
2024-05-25T04:00:48	pn4063	8047	DNpn40630524778	NG	02,DNpn40630524778_inspection_image.bmp,Dent,647,430,Scratch,406,396
2024-05-27T00:09:53	pn4063	8047	DNpn40630524340	OK	02,DNpn40630524340_inspection_image.bmp,
2024-05-25T16:58:04	pn4063	8047	DNpn40630524029	OK	02,DNpn40630524029_inspection_image.bmp,
2024-05-27T18:26:29	pn4063	8047	DNpn40630524091	OK	02,DNpn40630524091_inspection_image.bmp,
2024-05-25T13:28:10	pn4063	8047	DNpn40630524640	OK	02,DNpn40630524640_inspection_image.bmp,
2024-05-28T10:28:38	pn4063	8047	DNpn40630524050	OK	02,DNpn40630524050_inspection_image.bmp,
2024-05-28T11:52:15	pn4063	8047	DNpn40630524132	OK	02,DNpn40630524132_inspection_image.bmp,
2024-05-27T23:54:50	pn4063	8047	DNpn40630524424	OK	02,DNpn40630524424_inspection_image.bmp,
2024-05-25T22:55:55	pn4063	8047	DNpn40630524615	OK	02,DNpn40630524615_inspection_image.bmp,
2024-05-27T16:07:56	pn4063	8047	DNpn40630524724	OK	02,DNpn40630524724_inspection_image.bmp,
2024-05-26T21:22:01	pn4063	8047	DNpn40630524842	NG	02,DNpn40630524842_inspection_image.bmp,Dust,264,425,Crack,455,334,Dust,698,374
2024-05-27T19:00:42	pn4063	8047	DNpn40630524594	NG	02,DNpn40630524594_inspection_image.bmp,Dent,450,337
2024-05-28T01:55:45	pn4063	8047	DNpn40630524140	OK	02,DNpn40630524140_inspection_image.bmp,
2024-05-25T09:57:14	pn4063	8047	DNpn40630524798	NG	02,DNpn40630524798_inspection_image.bmp,Crack,694,450
2024-05-26T00:55:04	pn4063	8047	DNpn40630524052	OK	02,DNpn40630524052_inspection_image.bmp,
2024-05-27T04:38:18	pn4063	8047	DNpn40630524459	OK	02,DNpn40630524459_inspection_image.bmp,
2024-05-24T23:35:43	pn4063	8047	DNpn40630524088	OK	02,DNpn40630524088_inspection_image.bmp,
2024-05-24T21:50:45	pn4063	8047	DNpn40630524716		
2024-05-27T06:46:59	pn4063	8047	DNpn40630524064	NG	02,DNpn40630524064_inspection_image.bmp,Crack,534,451,Crack,708,320,Dust,765,351,Dust,669,425
2024-05-28T01:18:15	pn4063	8047	DNpn40630524121	NG	02,DNpn40630524121_inspection_image.bmp,Dent,104,377,Dent,304,437
2024-05-26T20:05:37	pn4063	8047	DNpn40630524259	OK	02,DNpn40630524259_inspection_image.bmp,
2024-05-27T13:41:00	pn4063	8047	DNpn40630524730	OK	02,DNpn40630524730_inspection_image.bmp,
2024-05-26T13:12:08	pn4063	8047	DNpn40630524955	OK	02,DNpn40630524955_inspection_image.bmp,
2024-05-27T10:38:07	pn4063	8047	DNpn40630524386	OK	02,DNpn40630524386_inspection_image.bmp,
2024-05-26T18:43:52	pn4063	8047	DNpn40630524488	NG	02,DNpn40630524488_inspection_image.bmp,Scratch,891,381,Crack,591,418,Dust,174,423
2024-05-28T09:16:17	pn4063	8047	DNpn40630524627	OK	02,DNpn40630524627_inspection_image.bmp,
2024-05-27T03:31:59	pn4063	8047	DNpn40630524564	OK	02,DNpn40630524564_inspection_image.bmp,
2024-05-24T14:14:34	pn4063	8047	DNpn40630524083	NG	02,DNpn40630524083_inspection_image.bmp,Scratch,678,452
2024-05-24T12:05:17	pn4063	8047	DNpn40630524973		
2024-05-24T21:00:56	pn4063	8047	DNpn40630524921	OK	02,DNpn40630524921_inspection_image.bmp,
2024-05-25T21:28:09	pn4063	8047	DNpn40630524552	OK	02,DNpn40630524552_inspection_image.bmp,
2024-05-27T20:29:20	pn4063	8047	DNpn40630524825	OK	02,DNpn40630524825_inspection_image.bmp,
2024-05-27T01:13:39	pn4063	8047	DNpn40630524017	OK	02,DNpn40630524017_inspection_image.bmp,
2024-05-27T06:32:59	pn4063	8047	DNpn40630524745	NG	02,DNpn40630524745_inspection_image.bmp,Scratch,421,363,Dent,400,328
2024-05-26T17:23:26	pn4063	8047	DNpn40630524330	OK	02,DNpn40630524330_inspection_image.bmp,
2024-05-24T16:22:53	pn4063	8047	DNpn40630524577	OK	02,DNpn40630524577_inspection_image.bmp,
2024-05-26T09:59:34	pn4063	8047	DNpn40630524984	NG	02,DNpn40630524984_inspection_image.bmp,Crack,888,384,Dust,251,395
2024-05-26T13:12:20	pn4063	8047	DNpn40630524014	OK	02,DNpn40630524014_inspection_image.bmp,
2024-05-25T11:01:00	pn4063	8047	DNpn40630524871	OK	02,DNpn40630524871_inspection_image.bmp,
2024-05-25T14:26:17	pn4063	8047	DNpn40630524931	NG	02,DNpn40630524931_inspection_image.bmp,Scratch,596,270
2024-05-26T09:27:07	pn4063	8047	DNpn40630524663	OK	02,DNpn40630524663_inspection_image.bmp,
2024-05-28T10:11:21	pn4063	8047	DNpn40630524829	OK	02,DNpn40630524829_inspection_image.bmp,
2024-05-26T01:35:48	pn4063	8047	DNpn40630524084	OK	02,DNpn40630524084_inspection_image.bmp,
2024-05-26T02:17:59	pn4063	8047	DNpn40630524279	NG	02,DNpn40630524279_inspection_image.bmp,Scratch,541,353
2024-05-26T15:53:23	pn4063	8047	DNpn40630524434	NG	02,DNpn40630524434_inspection_image.bmp,Dust,752,362
2024-05-27T12:23:21	pn4063	8047	DNpn40630524033	OK	02,DNpn40630524033_inspection_image.bmp,
2024-05-28T09:16:03	pn4063	8047	DNpn40630524513	OK	02,DNpn40630524513_inspection_image.bmp,
2024-05-25T14:31:59	pn4063	8047	DNpn40630524708		
2024-05-28T01:04:12	pn4063	8047	DNpn40630524540	OK	02,DNpn40630524540_inspection_image.bmp,
2024-05-26T19:20:26	pn4063	8047	DNpn40630524723	OK	02,DNpn40630524723_inspection_image.bmp,
2024-05-25T09:00:12	pn4063	8047	DNpn40630524489	OK	02,DNpn40630524489_inspection_image.bmp,
2024-05-25T18:10:15	pn4063	8047	DNpn40630524976	OK	02,DNpn40630524976_inspection_image.bmp,
2024-05-27T05:15:01	pn4063	8047	DNpn40630524680	OK	02,DNpn40630524680_inspection_image.bmp,
2024-05-26T07:46:18	pn4063	8047	DNpn40630524807	OK	02,DNpn40630524807_inspection_image.bmp,
2024-05-27T15:10:47	pn4063	8047	DNpn40630524484	OK	02,DNpn40630524484_inspection_image.bmp,
2024-05-28T01:16:44	pn4063	8047	DNpn40630524690	OK	02,DNpn40630524690_inspection_image.bmp,
2024-05-25T18:34:54	pn4063	8047	DNpn40630524492	OK	02,DNpn40630524492_inspection_image.bmp,
2024-05-26T23:52:56	pn4063	8047	DNpn40630524947	OK	02,DNpn40630524947_inspection_image.bmp,
2024-05-25T09:43:05	pn4063	8047	DNpn40630524220	OK	02,DNpn40630524220_inspection_image.bmp,
2024-05-26T00:46:41	pn4063	8047	DNpn40630524141	NG	02,DNpn40630524141_inspection_image.bmp,Dent,187,428,Crack,553,431,Dust,654,315,Scratch,632,379,Crack,671,315
2024-05-27T04:31:02	pn4063	8047	DNpn40630524994	OK	02,DNpn40630524994_inspection_image.bmp,
2024-05-24T19:10:32	pn4063	8047	DNpn40630524660	OK	02,DNpn40630524660_inspection_image.bmp,
2024-05-26T19:27:55	pn4063	8047	DNpn40630524616	NG	02,DNpn40630524616_inspection_image.bmp,Dust,296,392,Dust,344,444,Scratch,603,307,Dust,288,346,Scratch,452,438,Scratch,828,355
2024-05-26T13:27:57	pn4063	8047	DNpn40630524841	OK	02,DNpn40630524841_inspection_image.bmp,
2024-05-24T21:50:36	pn4063	8047	DNpn40630524534	OK	02,DNpn40630524534_inspection_image.bmp,
2024-05-25T09:18:04	pn4063	8047	DNpn40630524776		
2024-05-24T20:02:38	pn4063	8047	DNpn40630524190	OK	02,DNpn40630524190_inspection_image.bmp,
2024-05-24T21:13:11	pn4063	8047	DNpn40630524114	OK	02,DNpn40630524114_inspection_image.bmp,
2024-05-26T05:36:28	pn4063	8047	DNpn40630524794	OK	02,DNpn40630524794_inspection_image.bmp,
2024-05-25T15:58:27	pn4063	8047	DNpn40630524731	OK	02,DNpn40630524731_inspection_image.bmp,
2024-05-25T19:53:56	pn4063	8047	DNpn40630524781		
2024-05-25T10:49:34	pn4063	8047	DNpn40630524334	OK	02,DNpn40630524334_inspection_image.bmp,
2024-05-28T00:12:26	pn4063	8047	DNpn40630524253	OK	02,DNpn40630524253_inspection_image.bmp,
2024-05-28T04:37:11	pn4063	8047	DNpn40630524626	NG	02,DNpn40630524626_inspection_image.bmp,Scratch,442,426
2024-05-26T20:30:40	pn4063	8047	DNpn40630524347	NG	02,DNpn40630524347_inspection_image.bmp,Dust,689,362
2024-05-26T19:13:51	pn4063	8047	DNpn40630524499	OK	02,DNpn40630524499_inspection_image.bmp,
2024-05-27T08:03:19	pn4063	8047	DNpn40630524381	OK	02,DNpn40630524381_inspection_image.bmp,
2024-05-25T06:08:45	pn4063	8047	DNpn40630524127	OK	02,DNpn40630524127_inspection_image.bmp,
2024-05-24T19:15:35	pn4063	8047	DNpn40630524161	OK	02,DNpn40630524161_inspection_image.bmp,
2024-05-25T00:21:54	pn4063	8047	DNpn40630524967	OK	02,DNpn40630524967_inspection_image.bmp,
2024-05-27T02:05:13	pn4063	8047	DNpn40630524487	OK	02,DNpn40630524487_inspection_image.bmp,
2024-05-28T02:15:28	pn4063	8047	DNpn40630524320	OK	02,DNpn40630524320_inspection_image.bmp,
2024-05-24T14:51:50	pn4063	8047	DNpn40630524711	OK	02,DNpn40630524711_inspection_image.bmp,
2024-05-25T05:23:09	pn4063	8047	DNpn40630524018	OK	02,DNpn40630524018_inspection_image.bmp,
2024-05-28T01:19:38	pn4063	8047	DNpn40630524970	OK	02,DNpn40630524970_inspection_image.bmp,
2024-05-28T01:08:13	pn4063	8047	DNpn40630524971	OK	02,DNpn40630524971_inspection_image.bmp,
2024-05-25T08:46:20	pn4063	8047	DNpn40630524192	OK	02,DNpn40630524192_inspection_image.bmp,
