"Serial"	"datetime"	"Pre-PressfitLoad"	"AssemblyAngle"	"PressfitLoad"	"AdjAmount_1"	"AdjAmount_2"	"Flowrate"	"X1"	"Y1"	"L1"	"OilLeak"	"PartNo"	"EqNo"
202203190715898	2022-03-01 04:30:11	1.67	1.11	1.7	12.43	40.55	1055.55	-0.5	-15.7	78.8	-0.04	100	2
202203190715871	2022-03-01 04:33:28	0.83	0.53	1.7	11.88	42.61	1082.27	1.2	-16.1	76.3	-0.02	100	1
202203190715971	2022-03-01 04:36:21	0.71	0.6	1.7	12.96	41.53	1081.18	0.9	-15.5	79.3	-0.1	100	1
202203190715969	2022-03-01 04:37:13	0.7	0.82	1.7	13.36	41.26	1073.04	1.3	-19	80.2	0.05	100	1
202203190715918	2022-03-01 04:40:02	1.25	0.74	1.7	10.58	43.07	1067.83	1.2	-18.2	78.7	0	100	1
202203190715921	2022-03-01 04:46:42	1.3	-0.39	1.7	13.75	40.04	1075.54	0	-16.6	73.6	0.08	100	2
202203190715896	2022-03-01 04:58:17	1.59	1.11	1.7	13.85	39.94	1075.15	1.4	-16.9	81.6	-0.03	100	1
202203190715869	2022-03-01 05:01:29	1.6	-0.58	1.7	11.5	43.15	1059.52	0.7	-14.1	78.6	-0.06	100	1
202203190715848	2022-03-01 05:08:08	1.48	0.98	1.7	12.63	41.27	1070.68	-0.1	-16.1	77.2	0.01	100	2
202203190715945	2022-03-01 05:10:20	1.27	1.07	1.7	10.49	43.05	1057.41	-0.1	-15.5	78.7	-0.06	100	2
202203190715897	2022-03-01 05:16:54	1.53	0.67	1.7	14.79	38.59	1079.23	-0.1	-14.9	80	0.06	100	2
202203190715944	2022-03-01 05:17:42	0.67	1.24	1.7	12.24	42.76	1061.8	0.8	-16.1	77.9	-0.05	100	2
202203190715957	2022-03-01 05:17:47	0.73	0.84	1.7	8.16	43.69	1076.69	3	-17.3	76.2	-0.03	100	1
202203190715959	2022-03-01 05:18:53	0.7	0.5	1.7	11.98	41.29	1067.32	-0.4	-16.3	80.1	0.06	100	2
202203190715911	2022-03-01 05:29:28	1.36	0.34	1.7	12.42	40.7	1075.94	0.7	-14.6	76.3	0.06	100	2
202203190715885	2022-03-01 05:45:57	1.14	0.82	1.7	14.99	40.91	1077.88	1.2	-16	77.3	-0.05	100	1
202203190715836	2022-03-01 05:51:48	1.67	0.78	1.7	11.24	42.31	1079.3	1.8	-16.7	80	0.07	100	1
202203190715860	2022-03-01 05:56:53	1.57	0.66	1.7	15.57	38.15	1079.43	0.7	-17.1	78.2	-0.04	100	1
202203190715932	2022-03-01 06:02:25	1.05	0.43	1.7	12.34	41.12	1085.59	-0.6	-17.9	79.5	0.01	100	2
202203190715909	2022-03-01 06:05:58	1.36	0.65	1.7	14.6	39.11	1082.18	0.7	-15.5	82.8	0	100	1
202203190715934	2022-03-01 06:22:33	1.25	0.42	1.7	8.5	45.37	1072.26	1.1	-15.9	80.1	-0.01	100	1
202203190715862	2022-03-01 06:22:59	1.4	0.94	1.7	12.79	41.42	1065.54	-0.6	-18.3	82.5	-0.07	100	2
202203190715884	2022-03-01 07:22:32	1.54	0.76	1.7	12.17	42.17	1063.93	-0.2	-16.3	80.8	-0.04	100	2
202203190715958	2022-03-01 07:31:44	0.76	0.18	1.7	9.63	43.74	1066.64	1.3	-14.5	75.5	0.01	101	1
202203190715886	2022-03-01 07:33:18	1.48	0.91	1.7	11.44	42.44	1068.08	0.9	-18.6	81.8	-0.02	101	1
202203190716394	2022-03-01 07:33:31	0.7	0.92	1.7	10	43.95	1071.97	0.3	-14.1	78.3	0.05	101	2
202203190715970	2022-03-01 07:35:29	0.74	0.39	1.7	13.48	40.83	1063.62	-1.1	-16.5	77.9	-0.02	101	2
202203190715910	2022-03-01 07:38:14	1.59	0.37	1.7	12.01	41.54	1073.12	0.3	-20.1	84.5	0.01	101	1
202203190715922	2022-03-01 07:38:45	1.52	0.27	1.7	15.68	37.79	1083.61	-0.3	-16.9	81.3	-0.13	101	2
202203190715861	2022-03-01 07:47:47	1.68	0.85	1.7	12.11	40.98	1053.63	-0.1	-17.3	80.9	0.13	101	1
202203190715837	2022-03-01 07:51:33	1.59	1.01	1.7	15.13	38.26	1067.74	0.1	-18.1	80.5	0.07	101	1
202203190716346	2022-03-01 07:53:01	1.12	1.3	1.7	13.31	40.29	1063.35	1.4	-14.3	78.4	0.05	101	2
202203190716369	2022-03-01 07:53:40	0.9	0.78	1.8	8.91	45.52	1066.46	0.2	-16.5	77.9	-0.02	101	1
202203190716393	2022-03-01 07:55:58	0.67	0.91	1.7	11.93	43.36	1074.27	-2.2	-16.1	77.2	-0.05	101	2
202203190716298	2022-03-01 07:56:06	1	1	1.7	11.31	42.63	1070.27	-1.2	-15	76.5	0.12	101	2
202203190715947	2022-03-01 08:00:41	1.19	0.95	1.7	13.09	40.91	1073.52	1.2	-15.2	79.4	0.05	101	1
202203190716345	2022-03-01 08:00:59	1.04	0.84	1.7	10.48	43.37	1057.36	1.2	-17.1	80.4	0.09	101	2
202203190716321	2022-03-01 08:02:43	1.25	1.13	1.7	7.42	46.26	1063.02	-0.2	-15.9	78.4	0.03	101	2
202203190716273	2022-03-01 08:02:54	1.25	1.03	1.7	10.32	43.63	1058.3	1.2	-16.3	78.1	-0.02	101	1
202203190715899	2022-03-01 08:09:02	1.38	0.86	1.7	15.69	39.41	1064.28	-1.9	-16.6	78.6	-0.08	101	2
202203190716297	2022-03-01 08:12:24	1.16	0.82	1.7	12.99	41.51	1064.46	1	-15	77.5	0.01	101	1
202203190716347	2022-03-01 08:14:38	1.01	0.53	1.7	14.5	39.7	1086.26	1.4	-14.9	76	0.08	101	2
202203190716299	2022-03-01 08:18:01	1.31	0.29	1.7	11.73	43.1	1069.45	1.6	-16.4	77	-0.08	101	1
202203190716357	2022-03-01 08:20:04	0.78	0.55	1.8	6.86	45.86	1070.39	-1	-17.1	76.6	-0.01	101	2
202203190716381	2022-03-01 08:21:03	0.75	0.71	1.7	11.83	43.48	1068.07	-0.4	-14.6	75.3	0	101	2
202203190715935	2022-03-01 08:22:37	1.19	0.64	1.7	7.94	45.45	1067.07	1.5	-15.8	80.3	-0.05	101	1
202203190716309	2022-03-01 08:43:39	0.86	0.35	1.7	8.46	46.16	1061.82	-0.6	-18.2	79.1	0.02	101	2
202203190715838	2022-03-01 08:53:14	1.53	0.77	1.7	13.53	39.78	1059.77	1.2	-16.5	75.4	0.04	101	1
202203190716261	2022-03-01 08:56:21	1.27	0.76	1.7	8.17	46.6	1067.69	0.3	-18.8	81.1	0.02	101	2
202203190716285	2022-03-01 09:05:03	1.11	0.49	1.7	7.99	45.5	1051.24	0.8	-14.1	74.8	-0.02	101	1
202203190716335	2022-03-01 09:06:49	1.12	0.67	1.7	11.55	43.35	1068.38	0.1	-14.5	74.9	-0.06	101	2
202203190716382	2022-03-01 09:16:36	0.79	0.79	1.7	11.26	42.26	1071.29	0.1	-14.4	75.6	0.05	101	2
202203190716287	2022-03-01 09:27:10	1.13	0.16	1.7	11.8	42.87	1062	0.4	-16.9	78.4	0.06	101	1
202203190716370	2022-03-01 09:31:49	1.05	0.66	1.7	12.76	41.74	1080.64	0.3	-15.1	77	0.09	101	1
202203190716310	2022-03-01 09:33:29	1.03	0.6	1.7	13.87	40.02	1067.73	-0.8	-17.6	79.9	-0.04	101	2
202203190716334	2022-03-01 09:36:21	0.94	1.13	1.7	12	41.75	1067.58	-0.5	-17.8	78.2	0.12	101	2
202203190716397	2022-03-01 09:38:16	0.7	0.89	1.7	13.53	40.62	1051.27	1.1	-14.3	71.7	0.02	101	1
202203190716349	2022-03-01 09:40:26	0.93	0.69	1.7	9.61	44.32	1061.41	1.3	-15	81	0.05	101	1
202203190716274	2022-03-01 09:42:04	1.35	0.7	1.7	8.56	45.63	1071.92	0.1	-14.4	80.2	-0.02	101	2
202203190716286	2022-03-01 09:45:20	1.03	0.75	1.7	11.32	41.82	1068.97	-1.9	-19	83.6	0	101	2
202203190716396	2022-03-01 09:51:37	0.74	1.04	1.7	10.63	42.74	1065.24	1	-14.8	78.2	0	101	1
202203190716372	2022-03-01 10:01:45	1.1	0.78	1.7	11	41.43	1055.88	1.2	-16	77.3	-0.06	101	1
202203190716371	2022-03-01 10:05:17	1.1	0.47	1.7	8.32	45.2	1064.06	-0.2	-14.2	76.6	-0.05	101	2
202203190716324	2022-03-01 10:06:23	0.99	0.66	1.7	10.19	43.69	1069.56	1.2	-17.1	76.9	-0.01	101	1
202203190716323	2022-03-01 10:06:57	1.12	0.29	1.7	12.7	42	1062.28	0.5	-18.9	81	-0.02	101	2
202203190716398	2022-03-01 10:18:54	0.7	0.61	1.7	15.82	38.46	1067.82	-0.8	-16.7	77.1	-0.03	101	2
202203190716300	2022-03-01 10:26:01	1.55	1	1.7	16.98	37.14	1081.21	0.8	-15.3	78.9	0.16	101	1
202203190716384	2022-03-01 10:34:02	0.76	0.51	1.7	13.9	40.02	1069.66	0.3	-14.6	75.6	0.02	101	1
202203190716276	2022-03-01 10:34:04	1.22	0.87	1.7	15.16	38.42	1073.83	1.3	-17.5	79.6	0.08	101	1
202203190716350	2022-03-01 10:36:43	1.12	0.64	1.7	17.54	36.5	1062.48	0.7	-18.1	81.8	0.07	101	2
202203190716302	2022-03-01 10:56:42	1.56	0.73	1.7	14.57	39.03	1068.1	-0.3	-15.3	78.4	0.11	101	2
202203190716336	2022-03-01 11:03:43	1.39	0.46	1.7	12.79	41.17	1059.43	1.8	-16.4	78	0	101	1
202203190716359	2022-03-01 11:08:16	0.83	0.41	1.7	11.19	43.32	1066.21	0.2	-15.8	82.6	-0.02	101	2
202203190716386	2022-03-01 11:15:13	0.79	0.75	1.7	9.07	43.44	1057.17	2.3	-16.5	77	0	101	1
202203190716311	2022-03-01 11:19:52	1.27	0.59	1.7	14.48	39.6	1058.88	0.2	-14.3	78.3	0.01	101	2
202203190716312	2022-03-01 11:22:03	1.37	0.68	1.7	16.49	39.32	1061.84	0.7	-15.3	78.7	-0.1	101	2
202203190716288	2022-03-01 11:28:42	1.22	0.39	1.7	10.42	43.64	1070.07	1.9	-15.9	76.6	0.08	101	1
202203190716385	2022-03-01 11:29:06	0.69	0.15	1.7	13.76	40.09	1064.98	1.8	-15.8	75.1	-0.08	101	1
202203190716338	2022-03-01 11:29:18	1.37	0.55	1.7	14.41	38.94	1072.61	1.2	-14.5	76.6	0.01	101	2
202203190716263	2022-03-01 11:31:16	1.45	0.88	1.7	14.68	38.94	1066.02	-0.4	-16.2	76.6	0.02	101	2
202203190716264	2022-03-01 11:32:04	1.52	1	1.7	17.24	36.82	1080.2	1.7	-16.8	78.8	0.01	101	1
202203190716361	2022-03-01 11:34:46	1.2	0.73	1.8	10.83	43.48	1053.44	0	-16	77.8	0.01	101	1
202203190716373	2022-03-01 11:35:07	0.87	0.91	1.7	10.28	43.96	1061.24	1.3	-14.3	74.7	0.04	101	2
202203190716337	2022-03-01 11:35:19	1.15	0.67	1.7	6.24	47.09	1077.89	0.6	-15.3	78.9	-0.01	101	1
202203190716290	2022-03-01 11:36:41	1.48	0.92	1.7	13.85	40.09	1066.72	0.7	-19.2	84.4	0	101	2
202203190716289	2022-03-01 11:43:41	1.56	0.89	1.7	8.4	44.14	1054.79	1.3	-16	78	-0.03	101	1
202203190716313	2022-03-01 11:50:30	1.47	1.26	1.7	9.1	42.21	1052.63	2.1	-16.9	80.9	0.01	101	1
202203190716400	2022-03-01 11:51:07	0.71	0.74	1.7	13.41	41.56	1071.23	0.5	-17.5	80.6	-0.01	101	2
202203190716352	2022-03-01 12:20:32	1.14	0.56	1.7	12.23	40.99	1080.37	-0.5	-16.1	78.3	0.06	101	2
202203190716277	2022-03-01 12:23:41	1.6	0.95	1.7	15.88	39.68	1073.68	-0.1	-16.6	80.1	0.01	101	2
202203190716399	2022-03-01 12:24:52	0.69	1	1.8	10.3	44.15	1069.97	0.9	-15.4	75.6	0.04	101	1
202203190716265	2022-03-01 12:38:03	1.63	0.95	1.7	14.97	39.16	1066.04	0.8	-15.6	78.8	0.04	101	1
202203190716308	2022-03-01 12:42:22	1.55	1.17	1.7	18.45	35.72	1060.81	0.4	-14.8	77	0	101	2
202203190716375	2022-03-01 12:53:22	0.77	0.7	1.8	8.01	45.78	1068.37	0	-17.8	79.3	-0.02	102	1
202203190716374	2022-03-01 13:08:53	0.98	0.7	1.7	11.64	42.86	1068.95	0.5	-14.2	79.7	0	102	2
202203190716351	2022-03-01 13:18:20	1.07	0.66	1.7	9.43	44.54	1075.62	0.9	-15.9	78.9	0.04	102	1
202203190716326	2022-03-01 13:30:53	1.24	0.93	1.7	13.97	40.89	1060	-1.1	-16	78.2	-0.06	102	2
202203190716294	2022-03-01 13:30:53	1.44	0.91	1.8	13.33	40.84	1053.91	2.2	-17.6	79	0.03	102	1
202203190716318	2022-03-01 13:36:14	1.28	1.12	1.7	11.96	41.9	1054.91	1.8	-17.8	77.9	0.14	102	1
202203190716392	2022-03-01 13:36:28	0.8	0.85	1.8	11.91	41.55	1057.16	0	-17.5	79.5	0	102	2
202203190716344	2022-03-01 13:40:33	1.4	0.84	1.7	12.87	39.63	1051.84	1.5	-16.9	81.4	0.03	102	1
202203190716362	2022-03-01 13:41:53	1.02	0.77	1.7	8.34	45.18	1063.09	1	-14.6	79	0.03	102	2
202203190716278	2022-03-01 13:42:39	1.53	0.66	1.7	16.86	36.26	1059.57	-0.5	-19.8	83	-0.03	102	2
202203190716270	2022-03-01 13:45:32	1.25	0.87	1.8	12.36	41.5	1075.75	-0.2	-15.7	79.3	0.05	102	2
202203190716343	2022-03-01 13:51:53	1.2	0.81	1.8	12.39	41.17	1055.34	0.6	-14.3	78.9	-0.02	102	1
202203190716296	2022-03-01 13:52:45	1.41	0.66	1.7	12.39	41.37	1067.46	0.9	-17.8	82	0.05	102	1
202203190716314	2022-03-01 13:57:40	1.07	0.91	1.7	13.04	41.48	1050.08	-0.2	-16.2	77.5	-0.03	102	2
202203190716266	2022-03-01 13:58:52	1.62	0.98	1.7	14.69	40.04	1071.22	1	-16.9	81.1	0.03	102	2
202203190716295	2022-03-01 14:01:14	1.09	0.4	1.8	12.61	40.6	1061.8	0.5	-15.2	77	0.02	102	1
202203190716367	2022-03-01 14:05:49	1.32	0.74	1.8	13.46	40.66	1063.65	-0.8	-15.4	75.5	0.04	102	2
202203190716249	2022-03-01 14:05:56	0.69	0.61	1.7	10.89	43.28	1063.72	3.1	-18.9	81.1	0.02	102	1
202203190716201	2022-03-01 14:21:38	1.23	0.91	1.8	9.41	44.84	1068.09	1.7	-15.5	76.5	0.06	102	1
202203190716376	2022-03-01 14:24:24	0.83	0.6	1.7	9.16	44.32	1068.65	-1.2	-15.3	80.5	0	102	2
202203190716250	2022-03-01 14:26:39	0.77	0.66	1.8	14.53	40.16	1068.44	-0.1	-16.8	78	0.06	102	2
202203190716319	2022-03-01 14:30:51	1.37	0.33	1.7	10.27	44.28	1067.72	1.4	-17.3	77.7	0.04	102	1
202203190716271	2022-03-01 14:33:11	1.36	0.63	1.7	10	44.55	1063.29	2.2	-16.4	80.3	0	102	1
202203190716284	2022-03-01 14:36:45	1.54	0.63	1.7	15.4	39.7	1073.76	2	-15.7	77.4	0.04	102	1
202203190716328	2022-03-01 14:37:11	1.19	0.63	1.7	11.55	40.89	1057.76	0	-14.7	76.9	-0.03	102	2
202203190716202	2022-03-01 15:00:07	0.98	0.56	1.7	8.44	45.78	1065.59	-1.8	-17.3	78.9	-0.16	102	2
202203190716152	2022-03-01 15:08:28	1.39	0.68	1.8	11.39	42.35	1061.4	1.4	-17.9	78.2	0.02	102	2
202203190716153	2022-03-01 15:09:09	1.07	0.51	1.8	9.51	44.87	1059.56	2.1	-14.9	78.2	0	102	1
202203190716368	2022-03-01 15:09:34	1.27	0.95	1.8	8.83	44.24	1054.68	1.1	-15.4	76.4	-0.07	102	1
202203190716225	2022-03-01 15:12:24	0.79	0.99	1.7	10.08	43.26	1066.58	-0.7	-16.1	80.1	0	102	2
202203190716176	2022-03-01 15:17:12	0.68	0.9	1.8	13.1	41.26	1068.76	0.9	-17.5	83.6	0.01	102	2
202203190716320	2022-03-01 15:19:52	1.27	0.11	1.8	11.57	43.34	1056.09	3.1	-19.1	80.6	0.02	102	1
202203190716251	2022-03-01 15:20:34	0.76	0.82	1.8	9.59	44.81	1057.83	1.8	-14	78.3	0	102	1
202203190716237	2022-03-01 15:21:08	0.67	0.97	1.7	10.38	42.56	1061.58	-0.4	-17.4	80	0	102	2
202203190716203	2022-03-01 15:25:56	0.8	0.99	1.8	9.61	44.32	1075.47	1.1	-15.1	79.6	-0.02	102	1
202203190716189	2022-03-01 15:30:45	1.38	0.73	1.8	12.43	41.78	1073.2	-0.2	-18.2	79.3	0.02	102	2
202203190716272	2022-03-01 15:33:40	1.6	0.07	1.7	14	40.42	1067.23	0.2	-15.1	79.4	0.09	102	1
202203190716128	2022-03-01 15:34:23	1.5	0.92	1.8	9.79	45.17	1082.36	0.2	-15.4	78	0.04	102	2
202203190716140	2022-03-01 15:37:21	1.42	1.04	1.8	13.64	40.19	1063.88	0.2	-15.8	77.6	0.05	102	2
202203190716154	2022-03-01 15:39:32	1.21	0.94	1.8	13.04	41.01	1066.25	1.6	-14.8	77.4	0.02	102	1
202203190716226	2022-03-01 15:46:31	0.81	0.7	1.7	12.46	40.99	1063.42	2.3	-15.5	74.6	0.06	102	1
202203190716213	2022-03-01 15:50:27	0.82	0.92	1.8	9.75	43.1	1065.32	-0.3	-16.8	82.6	0.02	102	2
202203190716164	2022-03-01 15:53:41	1.56	0.77	1.8	14.55	37.72	1069.06	0	-17.3	80.1	0.03	102	2
202203190716178	2022-03-01 15:54:31	1.3	0.53	1.8	10.15	43.48	1052.56	1.1	-15.7	74.9	0.09	102	1
202203190716239	2022-03-01 15:54:32	0.7	0.24	1.8	10.33	42.79	1043.37	1.7	-15.3	75.7	-0.01	102	1
202203190716238	2022-03-01 15:56:00	0.66	0.58	1.7	14.74	39.33	1069.04	-0.5	-15.8	78.6	0	102	2
202203190716190	2022-03-01 15:58:42	1.23	0.81	1.8	10.94	42.68	1073.92	-1.3	-13.6	78.5	0	102	2
202203190716191	2022-03-01 15:59:54	1.01	0.45	1.8	11.85	42.98	1066.91	1.6	-14.4	75.4	0.07	102	1
202203190716129	2022-03-01 16:04:51	1.24	0.54	1.8	9.12	44.53	1061.21	1	-15.7	76.1	0.09	102	1
202203190716116	2022-03-01 16:11:40	0.72	0.85	1.8	12.64	40.73	1066.18	0.2	-18	80	-0.07	102	2
202203190716227	2022-03-01 16:12:11	0.97	0.93	1.7	10.66	43.58	1070.66	0.8	-15	77.3	-0.03	102	2
202203190716303	2022-03-01 16:12:16	1.52	0.25	1.8	11.99	42.94	1062.22	3	-19.1	79.8	0	102	1
202203190716214	2022-03-01 16:19:18	0.83	0.51	1.8	11.67	41.66	1058.81	2.1	-17.6	76.9	0.11	102	1
202203190716401	2022-03-01 16:22:58	0.73	0.71	1.7	14.71	39.73	1050.34	0	-15.1	73.6	0	102	2
202203190716327	2022-03-01 16:23:27	1.06	0.5	1.7	10.35	43.43	1052.13	1	-15.6	80.3	0	102	1
202203190716179	2022-03-01 16:29:12	1.01	0.8	1.8	11.24	43.31	1058.39	-0.2	-17.6	79.4	0.01	102	2
202203190716387	2022-03-01 16:29:24	0.73	0.77	1.8	14.48	39.33	1071.72	1.2	-13.7	76.5	0.03	102	1
202203190716130	2022-03-01 16:31:55	1.29	0.84	1.8	14.3	39.22	1066.77	0.2	-16.4	80.8	0.08	102	2
202203190716339	2022-03-01 16:34:55	0.75	1.03	1.7	10.33	44.34	1064.57	1.1	-16.8	80.9	-0.06	102	1
202203190716279	2022-03-01 16:35:08	1.57	0.46	1.7	9.99	44.01	1064.28	2	-18.3	80.1	0.06	102	1
202203190716353	2022-03-01 16:38:19	1.21	0.42	1.7	7.97	45.68	1057.26	0.2	-18.3	79.7	0	102	2
202203190716215	2022-03-01 16:42:40	0.73	0.06	1.7	14.54	40.83	1074.5	1.3	-13.6	75.2	-0.11	102	2
202203190716291	2022-03-01 16:43:04	1.41	0.58	1.7	15.65	38.48	1059.64	0.9	-14.4	74.5	-0.02	102	1
